pitcher,pitches,avgeffectvelo,avgvelo,avgspinrate,avghorzbreak,avgvertbreak
"Reed, Jake",101,78.01881188118810,79.85643564356440,2444.930693069310,-9.354059405940600,-3.708118811881190
"Overton, Connor",51,82.80784313725490,83.0156862745098,2444.0392156862700,-1.268235294117650,-2.0800000000000000
"Sceroler, Mac",22,83.42727272727270,83.43636363636360,2443.0454545454500,-4.4727272727272700,0.06545454545454550
"Junis, Jakob",432,80.75925925925930,81.7027777777778,2442.9350348027800,-14.030833333333300,1.4447222222222200
"Gott, Trevor",17,89.90588235294120,90.45294117647060,2442.294117647060,-2.244705882352940,-7.4400000000000000
"Campbell, Paul",135,86.85259259259250,87.54074074074080,2441.051851851850,-2.5555555555555600,-9.275555555555560
"Santos, Gregory",30,90.28333333333330,89.69333333333330,2440.6666666666700,-7.092000000000000,1.1120000000000000
"Funkhouser, Kyle",434,87.30069124423960,86.64009216589860,2440.21198156682,-4.114009216589860,-1.3034101382488500
"Gilbreath, Lucas",258,81.51162790697670,81.7515503875969,2439.0,7.188837209302330,1.782325581395350
"Peguero, Elvis",20,89.36000000000000,88.94500000000000,2436.3,-1.7940000000000000,1.0860000000000000
"Gilmartin, Sean",27,77.93703703703700,78.44814814814820,2435.037037037040,15.946666666666700,-2.417777777777780
"Vesia, Alex",138,85.66014492753620,85.17173913043480,2434.586956521740,6.636521739130430,-5.192173913043480
"Woodford, Jake",353,82.70679886685550,82.75524079320110,2433.8611898017000,-9.588101983002840,1.9757507082153000
"Kuhl, Chad",934,88.74475374732330,88.06027837259100,2433.0171489817800,-3.73220556745182,-2.6543897216274100
"Mella, Keury",60,82.9,82.34166666666670,2431.5333333333300,-4.518,-3.0660000000000000
"Alcala, Jorge",532,88.3904135338346,89.33609022556390,2431.3433962264200,-3.2603007518797000,-4.362857142857140
"Peters, Dillon",4,81.4,81.875,2430.75,4.89,0.69
"Archer, Chris",138,87.15724637681160,87.16304347826090,2430.514492753620,-5.356521739130430,-3.180000000000000
"Baz, Shane",54,85.71296296296300,86.70000000000000,2429.2830188679200,-2.9400000000000000,-2.4177777777777800
"Snell, Blake",809,87.48516687268240,86.78590852904820,2428.805693069310,4.161730531520390,-1.5761681087762700
"Castano, Daniel",239,79.60920502092050,79.87154811715480,2427.983263598330,6.645188284518830,-0.5769037656903770
"Ramirez, Yohan",367,82.79945504087190,82.23460490463220,2426.311475409840,-15.850463215258900,-5.42517711171662
"Dunn, Justin",261,83.87241379310350,83.44521072796930,2426.103448275860,-6.997701149425280,0.8813793103448280
"De Jong, Chase",207,84.61111111111110,85.14154589371980,2424.463768115940,-3.671884057971020,-0.29043478260869600
"Jansen, Kenley",241,82.26514522821580,81.92116182572620,2424.163179916320,-6.210124481327800,5.9402489626556000
"Foltynewicz, Mike",518,83.0480694980695,83.02915057915060,2423.600386100390,-5.232277992277990,-2.0126640926640900
"Gustave, Jandel",75,84.684,85.09200000000000,2422.28,-8.2544,2.7152
"Hendrix, Ryan",297,85.6074074074074,85.87744107744110,2422.188552188550,0.2593939393939400,2.0234343434343400
"Leyer, Robinson",81,86.38765432098770,87.31111111111110,2421.2345679012300,-5.15111111111111,-4.4903703703703700
"Guenther, Sean",123,82.10569105691060,82.47723577235770,2421.0650406504100,10.648780487804900,3.274146341463420
"Triggs, Andrew",52,79.82115384615390,82.81153846153850,2420.923076923080,-1.3892307692307700,-3.837692307692310
"Moronta, Reyes",22,80.48181818181820,80.47727272727270,2420.090909090910,-13.292727272727300,-1.9527272727272700
"Walker, Taijuan",734,85.13392370572210,85.9200272479564,2417.561475409840,-4.6325885558583100,-5.3082833787465900
"Elledge, Seth",144,82.58125000000000,83.01527777777780,2417.3146853146900,-3.9166666666666700,7.188333333333340
"Borucki, Ryan",233,86.19785407725320,86.37596566523600,2415.343347639490,3.0808583690987100,-2.509184549356220
"Kelley, Trevor",22,85.52272727272730,85.08181818181820,2412.909090909090,0.9436363636363640,-4.554545454545460
"Bashlor, Tyler",49,81.38367346938780,81.14693877551020,2412.6530612244900,-10.42775510204080,11.58612244897960
"Barlow, Scott",770,85.28337662337660,84.57077922077920,2412.6088657105600,-7.68405194805195,1.4264415584415600
"Márquez, Germán",956,85.36642259414220,86.6088912133891,2411.583420776500,-1.3088284518828500,-2.0210460251046000
