pitcher,avgeffectvelo,avgvelo,avgspinrate,avgrelease,avgextension,avgvertbreak,avghorzbreak
"Cheeley, Austin ",77.62249,79.14656666666670,2158.268686,6.067373333333330,5.48351,-47.1274,-6.302613333333330
"Szabo, Zakery",78.6444375,79.1417825,2423.429145,5.6822375,5.9225575,-47.8693575,-5.19833
"Bortka, Josh",77.11736476190480,79.13626619047620,2745.635599761910,5.981791428571430,5.1456542857142900,-58.17017047619050,-14.572200000000000
"Smith, Chase",76.55783,79.11249,2337.276423,4.37197,5.28437,-49.18751,-6.40386
"Diedrich, Sayer",76.40234866666670,79.08478666666670,2959.4576032666700,5.750668,4.682574000000000,-56.06473066666670,11.928414666666700
"Fenlong, Connor",78.0415375,79.0805675,2060.3307551875,5.66230625,5.767651875000000,-45.19519687500000,-15.75187875
"Busse, Terry",77.82295500000000,79.07333875000000,2539.1949463750000,6.139972500000000,5.568,-51.74395375000000,-14.36926375
"Peaden, Jacob",78.048305,78.996895,2558.733958,5.40976,5.61276,-48.624375,-12.333020000000000
"Gonzalez, Joan",76.96987083333330,78.96229166666670,2620.5822524166700,5.169245416666670,5.0160575000000000,-50.35665666666670,-9.686765416666670
"Roberts, Aaron",78.22204571428570,78.9367842857143,2431.0395470714300,5.529055714285710,5.9461828571428600,-52.065711428571400,-12.038265714285700
"Ornido, Riley",78.33222,78.91494,2016.990427,6.41984,6.02027,-46.23034,-6.06709
"Cheeley, Austin",77.99707000000000,78.88817500000000,2254.1597015000000,6.016375,5.6953700000000000,-46.87341,-5.448585
"Kengott, Jared",76.85967029411770,78.8798138235294,2327.8847604411800,5.807845882352940,5.013263235294120,-53.04330294117650,-5.656065588235290
"Rodriguez, Joe Joe",76.3818345,78.7989855,2748.5969217,5.7166255,4.957963,-59.4677965,-16.584342
"Bravo, Zach",77.27300195121950,78.76780756097560,2574.0601232682900,5.842448536585370,5.325145609756100,-54.12831951219510,-9.648501463414630
"Carter, Alan",76.895768,78.71774825,2252.7956194750000,6.023514500000000,5.29335725,-57.10964525000000,-10.502900750000000
"Suero, Jose",77.163912,78.70248750000000,1865.6771665,6.045065000000000,5.365946000000000,-49.5842395,-4.012833
"Wilson, Benjamin",76.0581588888889,78.64587111111110,2605.2990480000000,5.899706666666670,4.812013888888890,-55.81362277777780,-13.470945
"Ronan, Mason",76.49543714285710,78.64070000000000,2543.782545714290,5.912738571428570,4.92255,-60.37356428571430,11.163937142857100
"Parisi, Jack",76.38877,78.52015,2898.988732,5.13593,5.04673,-50.0031,-14.86576
"Nowak, Chase",75.78249,78.50615,2239.146468,6.20685,4.83047,-51.12877,-5.59744
"Gross, Thomas",75.21599375000000,78.4060625,2544.6733301250000,5.45907375,4.21269125,-55.954755,-7.81579625
"Pryor, Luke",76.5575652,78.2069116,2187.7212514000000,5.8156552,5.437304800000000,-50.401857200000000,-4.2759884
"Pintaro, Jonathan",76.16216937500000,78.14867875,2840.842829375,5.399233125000000,5.2862793750000000,-52.9657125,-14.040115
"Brown, Matt",76.86806818181820,78.12272545454550,2250.1267795454500,5.366213636363640,5.531565454545450,-49.48886727272730,-12.152336363636400
"Sikorski, Easton",75.95181894736840,78.11747263157900,2316.267486842110,6.130103684210530,4.833163157894740,-54.19615789473690,-5.796360526315790
"Wall, Chris ",76.99077,78.022355,2290.218945,5.369540000000000,5.602945,-50.265205,10.718135
"Tonas, Angelo",75.89074833333330,77.94614166666670,2185.305435,5.274635,4.956591666666670,-51.74080833333330,5.826283333333330
"Thompson, Ben",75.98593,77.89920000000000,2583.588406,6.378045,4.91704,-53.9029,-6.54719
"Hunt, KC",75.65470625,77.74561333333330,2626.567546083330,5.6557825,5.049740833333330,-59.89285541666670,-10.411150833333300
"Godwin, Connor",76.20956800000000,77.68425300000000,2301.1687494,5.605590000000000,5.485080000000000,-53.218501,-12.851028
"Fosbenner, Xavier",75.15211333333330,77.66304333333330,2644.4703793333300,5.4238,4.608373333333330,-51.60794333333330,-7.970816666666670
"Spoljaric, Turner",75.2778130769231,77.62419615384620,2575.8589206153800,5.573313076923080,5.088807179487180,-64.10454871794870,-11.058968461538500
"Noriega, Branden",75.16783800000000,77.57587000000000,2741.7264932000000,6.060918,4.741374,-56.639156,7.888854
"Wright, Kerry",76.57746571428570,77.54665285714290,1859.7101045714300,5.3657571428571400,5.941482857142860,-47.52012142857140,-0.16137714285714300
"Gowens, Riley",75.99378833333330,77.54168500000000,2334.489725,5.759988333333330,5.226258333333330,-49.42373333333330,-5.6298450000000000
"Rackers, Jason",77.86903000000000,77.523495,2089.293536,5.922645,6.39776,-43.97087,-6.84022
"Keller, Dave",74.50396875000000,77.40981625,2305.378261,5.2478550000000000,4.380363750000000,-60.026401250000000,-10.06947375
"Tong, Jonah",76.29893440000000,77.3606772,2487.9118160000000,6.093078,5.5986812,-59.01197560000000,-3.4668752000000000
"Laux, Brandon",76.753355,77.30716833333330,2022.9777995000000,5.6858216666666700,6.047831666666670,-44.79363333333330,-4.267988333333330
"Harris, Antoine",76.58155333333330,77.277255,2240.97546,5.569211666666670,5.797388333333330,-53.84986,-7.144151666666670
"Wendell, Wyatt",74.57409,77.27337,2922.405972,6.44215,4.74675,-56.41755,-19.06477
"Fernandez, Ronaldo",75.22749294117650,77.21584470588240,2537.080347470590,5.112152352941180,5.017723529411760,-51.92314823529410,-8.69084294117647
"Becker, Austin",75.26346142857140,77.18005857142860,2529.000983142860,6.38697642857143,5.305057857142860,-61.13347642857140,-13.038555714285700
"Allain, Luke",74.98448222222220,77.17595111111110,2652.119982666670,5.4695188888888900,4.844932222222220,-49.55016666666670,13.699910000000000
"Czerniawski, Zachary",75.03540750000000,77.15816125000000,2408.94344875,5.009153750000000,4.742752500000000,-51.22126875000000,-8.51812
"Stevens, Will",75.52635038461540,77.14587538461540,2935.4295394615400,5.821264230769230,5.57838423076923,-63.596430000000000,-12.338575769230800
"Jeans, Tyler",75.45012833333330,77.10758555555550,2674.799451277780,5.7358616666666700,5.188478333333330,-58.43747333333330,-7.736620555555560
"Tieding, Matthew",73.68712500000000,77.03401,2516.7194965,5.91483,3.91127,-52.341645,-3.639115
"Wilhite, Thomas",75.47670636363640,77.02954696969700,1926.4634062424200,5.700376666666670,5.146796060606060,-48.00892454545450,-5.261936666666670
"Tullar, Cameron",75.08155114285710,77.0096277142857,2586.1305922857100,5.561681428571430,5.1116854285714300,-55.41960542857140,7.837135142857140
"Minton, Hayden",76.40225961538460,77.00648,2419.473546,5.444389230769230,6.068063461538460,-59.127962307692300,-15.577459615384600
"Walling, Andrew",75.04074333333330,76.94511933333330,2258.0655300666700,5.600406,5.093250666666670,-51.195754666666700,11.277245333333300
"Milberg, Devin",74.43114647058820,76.91381980392160,2672.9567929607800,5.89289705882353,4.864766666666670,-59.87980176470590,12.567158823529400
"Haab, Jonathan",74.343108,76.849838,2716.462685,6.100028,4.75637,-64.415696,-10.633486
"Galatas, Nikelle",75.17538636363640,76.83193454545450,2069.0936961363600,5.787313636363640,5.332357727272730,-48.87011727272730,-4.1843413636363600
"Cespedes, Angel",75.03574,76.79542000000000,2197.7610845,6.03701,5.253325,-60.49659,-11.112740000000000
"Fruit, Zach",76.12201,76.78511,2281.418957,5.94038,5.79566,-52.72101,-15.33643
"Freeberger, Dominic",75.14848,76.75546,2151.663638,5.05303,5.49646,-48.56892,-19.13788
"Brewer, Michael",74.9884364,76.72855200000000,2156.7094156,5.788984800000000,5.1396604,-52.0386728,-7.535487200000000
"Johnson, Tyler",74.77911473684210,76.41375210526310,2010.1028724210500,5.163015263157890,5.242361052631580,-53.367482631578900,-5.6606894736842100
"Chiriboga, Chris",75.27823769230770,76.36252807692310,2663.000367692310,5.970801538461540,5.917790769230770,-68.99851846153850,-6.424042307692310
"Olson, Mason",73.85832213333330,76.30196933333330,2504.4322940800000,4.464990533333330,4.8287841333333300,-50.91263013333330,7.775084400000000
"Drake, Kohl",75.17610857142860,76.29538428571430,2258.259694857140,5.913848571428570,5.750795714285710,-63.67044428571430,5.121391428571430
"Wall, Chris",75.57283666666670,76.24276400000000,2166.4838771333300,5.308423333333330,5.792191333333330,-51.00337666666670,8.2695
"Gilchrist, Malcolm",75.28462,76.1121,2039.098714,4.68095,5.55755,-46.94404,0.87413
"Ammerlaan, Ashe",75.024275,76.10361666666670,2454.797693833330,5.282136666666670,5.67561,-56.950555,12.916410000000000
"Schueler, Jay",74.64652297297300,76.00647351351350,2173.4703776756800,5.626694054054050,5.546427567567570,-60.452160000000000,-9.742980540540540
"Camfield, Geoffrey",73.05241250000000,75.95998250000000,2104.98485575,6.022632500000000,4.3651475,-56.29361875,-5.23707
"Crawford, Devin",74.03381400000000,75.94188400000000,1921.9710145000000,6.069752000000000,4.808485,-50.923441,-3.1048170000000000
"Roberston, Trae",73.760472,75.85539533333330,2213.2905625333300,5.449268000000000,5.067885333333330,-55.018048,15.220128666666700
"Kiritsis, Daniel",74.64353600000000,75.743258,1720.877257,5.914663,5.680963,-55.361228,-13.410071000000000
"Thornton, Zach",74.22357222222220,75.70096555555560,2197.3343577777800,6.368404444444450,5.094082222222220,-54.67080000000000,5.642833333333330
"Schomberg, Will",71.74049176470590,75.66107294117650,2943.325190764710,5.121105294117650,3.8865223529411800,-62.08488294117650,-20.10901
"Gill, Elijah",74.07221636363640,75.64967363636360,2296.963058772730,5.668285454545460,5.278246818181820,-54.62699818181820,9.65038090909091
"Thompson, Wyatt",72.78818,75.5812525,2400.7562452500000,5.5672575,4.517567500000000,-61.245152500000000,-13.5288425
"Steward, Casey",74.25647600000000,75.460656,2219.8385214,5.800194,5.612224,-52.93517800000000,-16.390466
"Heine, Dylan",74.0631876923077,75.4429753846154,2018.2429051538500,6.1064384615384600,5.230230769230770,-52.524268461538500,-4.4594661538461500
"Gonzalez, Jesus",72.67226666666670,75.43692166666670,2031.2798008333300,5.917955000000000,4.632978333333330,-51.403455,-5.119518333333330
"McMahon, Ian",73.013923,75.40862,2056.202559,5.719442000000000,4.553154,-49.793181,2.7755730000000000
"Pickell, Cannon",73.4608288888889,75.35658,2315.130376277780,5.830740555555560,5.172962222222220,-65.12312666666670,-6.832376111111110
"Sapp, Eric",73.3265457142857,75.26465428571430,2034.4319274285700,5.921084285714290,4.94494,-56.26125714285710,5.851908571428570
"Fields, Colin",72.28314333333330,75.24368,2907.7419516666700,5.948763333333330,4.55392,-65.99065333333330,-15.163393333333300
"Pratt, Davis",73.38606311111110,75.22531511111110,1929.3213732444400,5.468194666666670,5.1341426666666700,-61.67994155555560,-11.206628444444400
"Cox, Brennan",72.84333133333330,75.21531800000000,2667.0709391333300,5.527748666666670,4.7728693333333300,-64.19471733333330,9.607352000000000
"Nett, Braden",73.11360478260870,75.17606869565220,2795.5123741739100,5.635673478260870,5.298076956521740,-66.77805434782610,-15.83862956521740
"Yamane, Tiaga",72.57069692307690,75.08512538461540,3121.191022076920,5.822230384615390,4.730453846153850,-67.3510203846154,-12.136718461538500
"Escano, Antonio",74.329436,75.047202,2538.3445504,5.322826,5.890002,-49.708328000000000,-10.411282000000000
"Perry, Tanner",73.538955,74.941713,2316.2741922000000,5.7013165,5.473249,-58.897172500000000,-8.645686000000000
"Mann, Rhian",72.785563,74.92856000000000,2632.150109,6.388780000000000,5.425368000000000,-63.608086,-19.606328000000000
"Thompson , Wyatt",71.2409209090909,74.77205,2397.6993144545500,5.747253636363640,4.118030000000000,-61.50280636363640,-8.234549090909090
"Murphy, Shane",72.9611815625,74.7146771875,2061.0114925000000,6.0150625,5.14471,-63.53978312500000,6.986330000000000
"Alba, Miguel",71.34317730769230,74.49445788461540,2528.3126565000000,6.023569423076920,4.0953490384615400,-61.113355961538500,-6.398983846153850
"Mineo, Ricky",73.55141000000000,74.22022166666670,1832.6540828333300,6.028838333333330,5.966675000000000,-57.655325,-8.003536666666670
"Orr, Dillon",71.61470666666670,74.13822666666670,2721.6242586666700,6.252550000000000,4.995863333333330,-61.90044,-14.254693333333300
"Dieter, Brandon",70.82849333333330,73.97215666666670,2474.791917666670,5.293671666666670,4.334748333333330,-69.96491833333330,-11.934396666666700
"Figueroa, Anthony",72.06735125,73.96816666666670,2620.6854785833300,5.091393750000000,5.0704312500000000,-62.02833333333330,11.182960416666700
"Oswald, Wesley",71.83679000000000,73.65897666666670,2341.10047,6.041753333333330,4.879996666666670,-53.96445333333330,-6.084636666666670
"Jarvis Jr., Evans",72.01864714285720,73.58658571428570,2460.700105,5.992812142857150,5.1468807142857100,-56.94079357142860,7.672594285714290
"Davitt, Duncan",71.78723454545450,73.14618636363640,2651.4291310909100,5.012768181818180,5.73709909090909,-62.00589727272730,-20.04811090909090
"Shalley, Tucker",71.47358071428570,73.00060285714290,2200.144804857140,5.376192142857140,5.336547142857140,-57.86890285714290,-11.910425714285700
"Elissalt, Frank",70.507405,72.530135,2587.2202789,5.417941,5.009589,-64.88741300000000,-15.162964000000000
"Olejnik, Peyton",70.97784166666670,72.05851166666670,2651.7008738333300,6.06617,5.698598333333330,-59.33741583333330,-18.069646666666700
"Fitzpatrick, Karter",70.67475846153850,71.51604461538460,2041.620498269230,6.2454357692307700,5.986422692307690,-64.01281423076920,-14.666901538461500
"Wojtarowicz, Andre",68.14701500000000,71.5112,1908.236958,5.740055,4.005735,-62.5971,9.30591
"Qin, Zimo",70.04435615384620,71.5069223076923,2086.3055521538500,6.077177692307690,5.352055384615380,-64.98148538461540,6.504056153846150
"Figueroa, Ryan",67.67842733333330,69.70016666666670,2410.4552621333300,4.186841333333330,4.995564000000000,-58.663592666666700,-11.037932000000000
"Drees, Derek",46.26897,53.53607,2361.316374,0.41375,0.2996,-153.44433,15.62414
