pitcher,avgeffectvelo,avgvelo,avgspinrate,avgvertbreak,avghorzbreak
"Mollerus, Josh",89.00112344827590,91.17615827586210,2282.3399358965500,-15.223052413793100,12.412096551724100
"Mineo, Ricky",90.89131391304350,91.10593536231890,2057.9885881911800,-14.180973913043500,8.62134884057971
"Palumbo, Nick",89.33648272727270,91.0692778787879,2398.0855974646500,-16.34540535353540,11.791911414141400
"Suero, Jose",90.02375315789480,91.05176596491230,2321.463453947370,-16.739889473684200,5.364050175438600
"Gonzalez, Joan",89.60337106382980,90.98390765957450,2362.1122249574500,-19.24054744680850,5.98634914893617
"Sikorski, Easton",89.254545,90.93606600000000,2257.0228352666700,-17.938253333333300,9.601275666666670
"Roberston, Trae",89.46161556818180,90.91852056818180,2226.9112972045500,-19.877099431818200,-7.684922159090910
"Ronan, Mason",89.28406178571430,90.83969642857140,2241.2229292500000,-15.326221071428600,-9.668644285714290
"Stewart, Justin",90.33887187500000,90.79475142857140,2217.139127776790,-15.05257392857140,9.942870625
"Wall, Chris ",89.69281066666670,90.79394000000000,2263.0247738666700,-16.578624666666700,-9.257465333333330
"Modugno, John",88.68175857142860,90.78074714285720,2340.889740285710,-21.050114285714300,7.439516428571430
"Fenlong, Connor",90.2426,90.73342,2011.1184680000000,-23.901255,0.029705000000000000
"Pickell, Cannon",90.08897631578950,90.63919513157900,2261.6001980526300,-15.579013421052600,2.579714736842110
"Reeves, Cobe",89.2348062962963,90.54953314814810,2295.186345388890,-19.052302777777800,-6.8289990740740700
"Drees, Derek",88.57306666666670,90.48265404761910,2295.848209095240,-16.271771904761900,11.959730714285700
"Fluno, Carson",89.27525774193550,90.47823064516130,2121.1240400967700,-14.424476129032300,6.9486
"Chiriboga, Chris",90.29295979591840,90.41854448979590,2305.8225696734700,-17.251748979591800,-0.6389495918367350
"Pryor, Luke",89.14225547945210,90.40956260273970,2281.0420994246600,-17.239709863013700,11.19264767123290
"Kush, Jacob",87.34120421052630,90.38118035087720,2375.8860046140400,-17.091239649122800,10.164974912280700
"Freeberger, Dominic",89.010299,90.37751816666670,2283.1071338000000,-15.34973,8.829293333333330
"Spoljaric, Turner",88.69781275862070,90.37407367816090,2264.454826465120,-21.150697586206900,9.36354264367816
"Hansel, Luke",89.12920666666670,90.35241714285720,2285.57688647619,-19.235870000000000,4.499374761904760
"Szabo, Zakery",90.14411594594600,90.2692943243243,2298.387943405410,-16.078402702702700,6.352844054054050
"Kengott, Jared",88.96732540000000,90.263286,2274.7193148163300,-18.8188614,10.9447178
"Tieding, Matthew",87.1371552631579,90.24672947368420,2241.0989958333300,-20.60368,11.349283684210500
"Mann, Rhian",88.02614857142860,90.21741333333330,2088.8943803333300,-20.71044142857140,5.051507142857140
"Rackers, Jason ",90.05401666666670,90.17869833333330,2423.8678778333300,-18.315143333333300,9.40076
"Morris, Gunner",88.68839700000000,90.14822050000000,2056.7433457000000,-18.3379215,9.204059500000000
"Camfield, Geoffrey",87.33312103448270,90.13741862068960,2121.2012068275900,-19.540072413793100,11.705373793103400
"Davitt, Duncan",89.69050058823530,90.11310098039220,2070.838137764710,-19.441781960784300,7.7295043137254900
"Steward, Casey",89.28680211267610,90.04570366197180,2164.8207716478900,-16.417068028169000,8.72481676056338
"Thompson, Wyatt",87.58916555555560,90.04421333333330,2233.8637818888900,-18.51138,9.140132222222220
"Pratt, Davis",88.700726,90.04329133333330,2315.7242665333300,-18.706823333333300,12.892918000000000
"Elissalt, Frank",88.5869644736842,89.94888618421050,2461.0055494210500,-18.485863157894700,11.461252236842100
"Figueroa, Anthony",88.01818730769230,89.93821682692310,2632.6689933846200,-18.945960288461500,-13.259809807692300
"Diedrich, Sayer",88.03582900000000,89.903308,2395.6352429,-18.265485,-14.04647
"Saathoff, Allan",89.57108160493830,89.82274925925930,2349.739877382720,-17.428353456790100,8.347178148148150
"Kiritsis, Daniel",89.5437727173913,89.8205320652174,1999.7268455434800,-22.496820869565200,6.025994891304350
"Tullar, Cameron",88.65848090909090,89.7970668181818,2347.016066818180,-20.895612272727300,-6.791035909090910
"Wilhite, Thomas",88.63749750000000,89.75912925925930,2067.0663211388900,-20.79120944444440,6.520791296296300
"Wall, Chris",88.97808261363640,89.75285261363640,2133.4125782386400,-17.315807613636400,-8.727075795454550
"Nowak, Chase",87.94793117647060,89.74307411764710,2261.935829117650,-17.570733529411800,6.6804082352941200
"Dieter, Brandon",87.33456,89.73756,2347.313338,-21.18308,8.82835
"Richardson, Maddex",88.46130416666670,89.7096486111111,2171.294426444440,-18.81309305555560,8.044179444444440
"Garcia, Lex",87.58602651515150,89.67897787878790,2151.423876651520,-16.686441969697000,5.165996212121210
"Gonzalez, Jesus",86.50216916666670,89.65721916666670,2221.721701861110,-18.496692222222200,11.431335555555600
"Brown, Matt",89.1296689361702,89.62724255319150,2327.097194148940,-18.5605714893617,4.726333191489360
"Knoll, Brendan",88.60155588235290,89.61207529411760,2205.388962294120,-23.30008235294120,7.609227647058820
"Thornton, Zach",88.6157296969697,89.5935115151515,2245.8958171515200,-16.559701515151500,-6.651126060606060
"Wendell, Wyatt",87.33899473684210,89.55667526315790,2121.982786631580,-22.0978147368421,5.653567368421050
"Cheeley, Austin ",88.38853785714290,89.4700057142857,2216.0287259285700,-20.132706428571400,9.105077857142860
"Gill, Elijah",88.37410945945950,89.46089459459460,2110.8031326756800,-17.390294594594600,-11.195415675675700
"Sapp, Eric",88.17029948453610,89.40130958762890,2060.5542898659800,-17.625115463917500,-6.466562783505160
"Drake, Kohl",88.19090555555560,89.37095444444440,2269.0467990000000,-16.99269,-11.578388888888900
"Alba, Max",87.82683794117650,89.22003411764710,2373.654899088240,-14.186382647058800,5.182306764705880
"Allain, Luke",87.19151500000000,89.09697058823530,2149.4622645294100,-17.10369411764710,-10.80287
"Olejnik, Peyton",88.98826321100920,88.95138440366970,2454.653493018520,-18.4702004587156,7.971926055045870
"Schueler, Jay",88.59600362745100,88.8242955882353,2190.452317107840,-17.80737450980390,3.6312742156862700
"Shalley, Tucker",87.15840625,88.75275625,2172.0252923750000,-19.280457500000000,11.1009025
"Crawford, Devin",86.61720604166670,88.69634750000000,2456.303195319150,-22.15623520833330,6.834898333333330
"Brewer, Michael",87.89306943820230,88.68023752808990,2404.442792146070,-18.2709302247191,6.077247191011240
"DePrimo, Hunter",86.10092363636360,88.50583909090910,2268.825143272730,-21.443950909090900,12.23113909090910
"Milberg, Devin",86.42877096774190,88.43298508064520,2321.0792455967700,-18.55599064516130,-9.059269193548390
"Fosbenner, Xavier",86.66461608695650,88.40703086956520,2342.942332086960,-22.485425217391300,8.859759565217390
"Thompson , Wyatt",85.55363800000000,88.257776,2204.835421577780,-18.999077333333300,10.723881777777800
"Rackers, Jason",88.60489714285710,88.19800142857140,2257.111063285720,-21.263002857142900,10.824487142857100
