pitcher,pitches,avgeffectvelo,avgvelo,avgspinrate,avghorzbreak,avgvertbreak
"Richards, Garrett",150,89.91933333333330,90.58800000000000,1694.8533333333300,15.367200000000000,-5.306400000000000
"Nolin, Sean",83,80.99277108433740,80.47469879518070,1694.698795180720,-15.497349397590400,-8.638554216867470
"Bieber, Shane",185,88.71729729729730,88.24648648648650,1694.2702702702700,15.505297297297300,-6.206918918918920
"Harvey, Matt",290,84.81689655172420,85.28344827586210,1693.748275862070,14.259310344827600,-11.322206896551700
"González, Chi Chi",200,84.2535,84.96600000000000,1692.5175879397000,11.875800000000000,-4.5912
"Minter, A.J.",221,86.04524886877830,86.53076923076920,1692.0590909090900,-16.269502262443400,-2.9332126696832600
"Braymer, Ben",34,77.93823529411770,79.01764705882350,1691.8529411764700,-12.169411764705900,-11.827058823529400
"Littell, Zack",3,88.43333333333330,87.76666666666670,1689.3333333333300,10.64,-13.440000000000000
"Webb, Tyler",158,79.44620253164560,79.05000000000000,1688.6962025316500,-5.358987341772150,-16.98455696202530
"Carlton, Drew",10,83.78,84.42000000000000,1688.5,15.480000000000000,-5.292
"Muller, Kyle",13,88.04615384615380,88.0,1688.4615384615400,-14.621538461538500,-5.270769230769230
"Rodón, Carlos",295,84.73254237288140,85.17288135593220,1687.3299319727900,-13.623457627118600,-11.48705084745760
"Perez, Francisco",12,85.36666666666670,85.97500000000000,1687.25,-10.810000000000000,-12.890000000000000
"Kilome, Franklyn",42,86.06190476190470,85.54523809523810,1687.095238095240,5.582857142857140,-6.414285714285720
"Happ, J.A.",444,85.8563063063063,86.18198198198200,1685.6801801801800,-14.235945945945900,-8.971081081081080
"López, Reynaldo",139,83.69712230215830,83.96690647482020,1685.4057971014500,11.00546762589930,-11.07884892086330
"Rucker, Michael",35,90.67142857142860,90.51714285714290,1683.4857142857100,11.972571428571400,-6.7302857142857100
"Stripling, Ross",384,83.42812500000000,83.68697916666670,1683.4348958333300,10.675625000000000,-9.835625000000000
"Brentz, Jake",140,91.38071428571430,90.98071428571430,1682.55,-16.699714285714300,-4.218857142857140
"Lee, Dylan",26,87.82307692307690,87.20769230769230,1682.1153846153800,-13.241538461538500,-10.560000000000000
"Porcello, Rick",124,81.46451612903220,81.81290322580640,1682.008064516130,14.609032258064500,-7.026774193548380
"Ureña, José",252,89.80277777777780,89.79920634920630,1681.3015873015900,13.43809523809520,-9.522857142857140
"Santana, Ervin",33,86.80000000000000,86.96060606060600,1679.3333333333300,8.083636363636370,-13.083636363636400
"Hart, Kyle",48,80.03125,79.71250000000000,1678.5416666666700,-13.895,-7.69
"Price, David",295,84.94949152542370,85.51593220338980,1677.2372881355900,-14.683932203389800,-5.599728813559320
"Wood, Alex",538,83.72843866171000,85.25576208178430,1676.4971537001900,-14.354052044609700,-1.4741263940520400
"Marshall, Evan",318,87.2987421383648,88.01446540880500,1676.072327044030,16.284905660377400,-4.157358490566040
"Steckenrider, Drew",160,87.30062500000000,87.61,1675.86875,13.22025,-9.813000000000000
"Cease, Dylan",361,78.74349030470920,79.96177285318560,1675.3267605633800,6.940055401662050,-15.16853185595570
"Fulmer, Michael",178,88.11067415730340,87.7269662921348,1673.8651685393300,12.958651685393300,-5.531460674157300
"Bleier, Richard",20,83.35500000000000,82.97,1673.15,-16.662,-6.846
"Anderson, Tanner",2,83.1,83.55000000000000,1672.0,15.660000000000000,-0.78
